,match_id,First Innings,Second Innings,First Innings Score,Second Innings Score,Winner,Batting wins,Bowling wins
300,301,Delhi Daredevils,Pune Warriors,56,,Pune Warriors,0,1
301,302,Chennai Super Kings,Royal Challengers Bangalore,128,129.0,Royal Challengers Bangalore,0,1
302,303,Kolkata Knight Riders,Mumbai Indians,175,178.0,Mumbai Indians,0,1
303,304,Royal Challengers Bangalore,Chennai Super Kings,175,177.0,Chennai Super Kings,0,1
304,305,Kolkata Knight Riders,Mumbai Indians,147,148.0,Mumbai Indians,0,1
305,306,Royal Challengers Bangalore,Mumbai Indians,185,142.0,Royal Challengers Bangalore,1,0
306,307,Chennai Super Kings,Royal Challengers Bangalore,205,147.0,Chennai Super Kings,1,0
307,308,Chennai Super Kings,Mumbai Indians,112,115.0,Mumbai Indians,0,1
308,309,Kolkata Knight Riders,Delhi Daredevils,97,100.0,Delhi Daredevils,0,1
309,310,Pune Warriors,Mumbai Indians,129,101.0,Pune Warriors,1,0
310,311,Rajasthan Royals,Kings XI Punjab,191,160.0,Rajasthan Royals,1,0
311,312,Royal Challengers Bangalore,Delhi Daredevils,157,137.0,Royal Challengers Bangalore,1,0
312,313,Chennai Super Kings,Deccan Chargers,193,119.0,Chennai Super Kings,1,0
313,314,Rajasthan Royals,Kolkata Knight Riders,164,142.0,Rajasthan Royals,1,0
314,315,Pune Warriors,Kings XI Punjab,166,144.0,Pune Warriors,1,0
315,316,Deccan Chargers,Mumbai Indians,138,142.0,Mumbai Indians,0,1
316,317,Kolkata Knight Riders,Royal Challengers Bangalore,165,123.0,Kolkata Knight Riders,1,0
317,318,Chennai Super Kings,Delhi Daredevils,110,111.0,Delhi Daredevils,0,1
318,319,Mumbai Indians,Rajasthan Royals,197,170.0,Mumbai Indians,1,0
319,320,Royal Challengers Bangalore,Chennai Super Kings,205,208.0,Chennai Super Kings,0,1
320,321,Pune Warriors,Kings XI Punjab,115,116.0,Kings XI Punjab,0,1
321,322,Rajasthan Royals,Kolkata Knight Riders,131,137.0,Kolkata Knight Riders,0,1
322,323,Deccan Chargers,Delhi Daredevils,157,162.0,Delhi Daredevils,0,1
323,324,Chennai Super Kings,Pune Warriors,155,156.0,Pune Warriors,0,1
324,325,Kings XI Punjab,Kolkata Knight Riders,134,132.0,Kings XI Punjab,1,0
325,326,Rajasthan Royals,Royal Challengers Bangalore,195,136.0,Rajasthan Royals,1,0
326,327,Mumbai Indians,Delhi Daredevils,92,93.0,Delhi Daredevils,0,1
327,328,Deccan Chargers,Rajasthan Royals,196,197.0,Rajasthan Royals,0,1
328,329,Pune Warriors,Royal Challengers Bangalore,182,186.0,Royal Challengers Bangalore,0,1
329,330,Kings XI Punjab,Kolkata Knight Riders,124,127.0,Kolkata Knight Riders,0,1
330,331,Deccan Chargers,Delhi Daredevils,187,193.0,Delhi Daredevils,0,1
331,332,Chennai Super Kings,Pune Warriors,164,151.0,Chennai Super Kings,1,0
332,333,Kings XI Punjab,Royal Challengers Bangalore,163,166.0,Royal Challengers Bangalore,0,1
333,334,Rajasthan Royals,Chennai Super Kings,146,147.0,Chennai Super Kings,0,1
334,335,Pune Warriors,Delhi Daredevils,192,172.0,Pune Warriors,1,0
335,336,Mumbai Indians,Kings XI Punjab,163,164.0,Kings XI Punjab,0,1
336,337,Deccan Chargers,Kolkata Knight Riders,126,127.0,Kolkata Knight Riders,0,1
337,338,Royal Challengers Bangalore,Rajasthan Royals,189,143.0,Royal Challengers Bangalore,1,0
338,339,Pune Warriors,Delhi Daredevils,146,148.0,Delhi Daredevils,0,1
339,340,Kings XI Punjab,Mumbai Indians,168,171.0,Mumbai Indians,0,1
340,341,Deccan Chargers,Pune Warriors,177,159.0,Deccan Chargers,1,0
341,342,Delhi Daredevils,Mumbai Indians,207,170.0,Delhi Daredevils,1,0
342,343,Kings XI Punjab,Chennai Super Kings,156,149.0,Kings XI Punjab,1,0
343,344,Kolkata Knight Riders,Royal Challengers Bangalore,190,143.0,Kolkata Knight Riders,1,0
344,345,Delhi Daredevils,Rajasthan Royals,152,151.0,Delhi Daredevils,1,0
345,346,Deccan Chargers,Mumbai Indians,100,101.0,Mumbai Indians,0,1
346,347,Chennai Super Kings,Kolkata Knight Riders,139,140.0,Kolkata Knight Riders,0,1
347,348,Deccan Chargers,Pune Warriors,186,173.0,Deccan Chargers,1,0
348,349,Rajasthan Royals,Delhi Daredevils,141,144.0,Delhi Daredevils,0,1
349,350,Royal Challengers Bangalore,Kings XI Punjab,158,163.0,Kings XI Punjab,0,1
350,351,Mumbai Indians,Pune Warriors,120,119.0,Mumbai Indians,1,0
351,352,Chennai Super Kings,Deccan Chargers,160,150.0,Chennai Super Kings,1,0
352,353,Kolkata Knight Riders,Pune Warriors,150,143.0,Kolkata Knight Riders,1,0
353,354,Rajasthan Royals,Kings XI Punjab,177,134.0,Rajasthan Royals,1,0
354,355,Chennai Super Kings,Mumbai Indians,173,174.0,Mumbai Indians,0,1
355,356,Deccan Chargers,Royal Challengers Bangalore,181,185.0,Royal Challengers Bangalore,0,1
356,357,Delhi Daredevils,Kolkata Knight Riders,153,154.0,Kolkata Knight Riders,0,1
357,358,Pune Warriors,Rajasthan Royals,125,126.0,Rajasthan Royals,0,1
358,359,Kings XI Punjab,Deccan Chargers,170,145.0,Kings XI Punjab,1,0
359,360,Mumbai Indians,Royal Challengers Bangalore,141,142.0,Royal Challengers Bangalore,0,1
360,361,Rajasthan Royals,Chennai Super Kings,126,127.0,Chennai Super Kings,0,1
